classifier_name,full_dataset_name,f1,accuracy
chrono_gam,Adiac,0.8120022115686385,0.9682726204465336
chrono_gam,ArrowHead,0.6454200473248092,0.6666666666666666
chrono_gam,Beef,0.6387212787212786,0.8
chrono_gam,BeetleFly,0.3629370629370629,0.5
chrono_gam,BirdChicken,0.3629370629370629,0.5
chrono_gam,CBF,0.39822003871667916,0.6666666666666666
chrono_gam,Car,0.3600225500233391,0.6083333333333334
chrono_gam,ChlorineConcentration,0.3441210146849842,0.40399305555555554
chrono_gam,CinCECGTorso,0.40624530758910626,0.6605072463768116
chrono_gam,Coffee,0.3693412849010572,0.5
chrono_gam,Computers,0.4178718796151504,0.518
chrono_gam,CricketX,0.48126866375899374,0.7175213675213675
chrono_gam,CricketY,0.5207628122850639,0.7923076923076923
chrono_gam,CricketZ,0.4744435101671098,0.7239316239316239
chrono_gam,DiatomSizeReduction,0.3309112632338166,0.5522875816993464
chrono_gam,DistalPhalanxOutlineAgeGroup,0.44619613653588147,0.5947242206235012
chrono_gam,DistalPhalanxOutlineCorrect,0.33276474639971376,0.4909420289855072
chrono_gam,DistalPhalanxTW,0.348904861769534,0.5287769784172661
chrono_gam,ECG200,0.4107432254194291,0.5700000000000001
chrono_gam,ECG5000,0.5567150704372595,0.6036444444444444
chrono_gam,ECGFiveDays,0.3289265169361239,0.5
chrono_gam,Earthquakes,0.4196108049327948,0.658273381294964
chrono_gam,ElectricDevices,0.1383057197480006,0.14285714285714282
chrono_gam,FaceAll,0.7810514935547653,0.8153846153846154
chrono_gam,FaceFour,0.4255143439348111,0.75
chrono_gam,FacesUCR,0.58976591598679,0.828397212543554
chrono_gam,FiftyWords,0.7430497273256568,0.8375384615384616
chrono_gam,Fish,0.4832234817872144,0.8236734693877551
chrono_gam,FordA,0.3285297784022583,0.49999999999999994
chrono_gam,FordB,0.3299801819520016,0.5
chrono_gam,GunPoint,0.34195096273480236,0.51
chrono_gam,Ham,0.39483798896987043,0.47619047619047616
chrono_gam,HandOutlines,0.3361879281791647,0.45945945945945943
chrono_gam,Haptics,0.25438103011437974,0.2922077922077922
chrono_gam,Herring,0.3304226208574035,0.5
chrono_gam,InlineSkate,0.45055784047195335,0.7085714285714285
chrono_gam,InsectWingbeatSound,0.4211936008326889,0.6419191919191919
chrono_gam,ItalyPowerDemand,0.3788316936135947,0.5072886297376094
chrono_gam,LargeKitchenAppliances,0.4782172188516991,0.6017777777777777
chrono_gam,Lightning2,0.32784105693941756,0.42622950819672123
chrono_gam,Lightning7,0.5055210597290001,0.7710371819960861
chrono_gam,Mallat,0.5149844836261535,0.875
chrono_gam,Meat,0.5346868595991403,0.5722222222222223
chrono_gam,MedicalImages,0.6785366226782744,0.9036842105263159
chrono_gam,MiddlePhalanxOutlineAgeGroup,0.4416473487675742,0.5367965367965367
chrono_gam,MiddlePhalanxOutlineCorrect,0.32477148741835626,0.49999999999999994
chrono_gam,MiddlePhalanxTW,0.5323663565458013,0.7943722943722943
chrono_gam,MoteStrain,0.32805909286493334,0.5
chrono_gam,NonInvasiveFetalECGThorax1,0.8116136994748517,0.9518356961105053
chrono_gam,NonInvasiveFetalECGThorax2,0.8134020062989342,0.9524536532170119
chrono_gam,OSULeaf,0.42110530227922993,0.6666666666666666
chrono_gam,OliveOil,0.5353271683874838,0.6333333333333333
chrono_gam,PhalangesOutlinesCorrect,0.32394934943230913,0.5
chrono_gam,Phoneme,0.6481185356046195,0.6555636698041761
chrono_gam,Plane,0.5162591751627879,0.8571428571428571
chrono_gam,ProximalPhalanxOutlineAgeGroup,0.3393368032946004,0.48292682926829267
chrono_gam,ProximalPhalanxOutlineCorrect,0.35700695623739664,0.49828178694158076
chrono_gam,ProximalPhalanxTW,0.4442077836617096,0.6178861788617885
chrono_gam,RefrigerationDevices,0.33404251735128065,0.43111111111111106
chrono_gam,ScreenType,0.27878760071255876,0.34577777777777774
chrono_gam,ShapeletSim,0.4847707847707847,0.5
chrono_gam,ShapesAll,0.945417066272739,0.9592222222222221
chrono_gam,SmallKitchenAppliances,0.5373404127329061,0.624
chrono_gam,SonyAIBORobotSurface1,0.3670394014798317,0.5008319467554077
chrono_gam,SonyAIBORobotSurface2,0.32971064641530534,0.5020986358866737
chrono_gam,StarLightCurves,0.34647040603584633,0.4324510280071232
chrono_gam,Strawberry,0.5064459268779373,0.6202702702702703
chrono_gam,SwedishLeaf,0.518602460403947,0.6797866666666667
chrono_gam,Symbols,0.4881751998736286,0.832998324958124
chrono_gam,SyntheticControl,0.5639341046445371,0.6188888888888889
chrono_gam,ToeSegmentation1,0.48205615047720307,0.5021929824561403
chrono_gam,ToeSegmentation2,0.1552555521243918,0.2038461538461538
chrono_gam,Trace,0.44244432655467136,0.755
chrono_gam,TwoLeadECG,0.3504904721237747,0.5087796312554873
chrono_gam,TwoPatterns,0.32810972768670166,0.361875
chrono_gam,UWaveGestureLibraryAll,0.5133394224167565,0.7715661641541038
chrono_gam,UWaveGestureLibraryX,0.38518030675766535,0.5947445561139029
chrono_gam,UWaveGestureLibraryY,0.4065385316156285,0.6245114461194863
chrono_gam,UWaveGestureLibraryZ,0.43288717369081897,0.6649567280848688
chrono_gam,Wafer,0.3263955084450343,0.5
chrono_gam,Wine,0.4006479427029009,0.5277777777777777
chrono_gam,WordSynonyms,0.6277858462354802,0.7682758620689656
chrono_gam,Worms,0.5673941921266115,0.6155844155844156
chrono_gam,WormsTwoClass,0.36881380710816575,0.487012987012987
chrono_gam,Yoga,0.3126558960076897,0.4648333333333333
