classifier_name,dataset_name,f1,accuracy
chrono_gam,Adiac-1.0,0.9907027219130184,0.9820971867007672
chrono_gam,Adiac-2.0,0.9825665914670751,0.9667519181585678
chrono_gam,Adiac-3.0,0.9797505421862126,0.9616368286445012
chrono_gam,Adiac-4.0,0.9920798613975746,0.9846547314578004
chrono_gam,Adiac-5.0,0.9785585093892992,0.959079283887468
chrono_gam,Adiac-6.0,0.2868950622381138,0.1994884910485933
chrono_gam,Adiac-7.0,0.9865357643758768,0.9744245524296676
chrono_gam,Adiac-8.0,0.9676981573564346,0.9462915601023018
chrono_gam,Adiac-9.0,0.8807666778266372,0.8312020460358056
chrono_gam,Adiac-10.0,0.9706063702268638,0.9539641943734016
chrono_gam,Adiac-11.0,0.9342777464122866,0.9002557544757033
chrono_gam,Adiac-12.0,0.980885458598974,0.9641943734015346
chrono_gam,Adiac-13.0,0.98098256374659,0.9641943734015346
chrono_gam,Adiac-14.0,0.829438966576629,0.7800511508951407
chrono_gam,Adiac-15.0,0.9880317905563348,0.9769820971867008
chrono_gam,Adiac-16.0,0.9533260678215716,0.9309462915601024
chrono_gam,Adiac-17.0,0.1814137671041854,0.1074168797953964
chrono_gam,Adiac-18.0,0.9826636966146908,0.9667519181585678
chrono_gam,Adiac-19.0,0.9011218583143702,0.8567774936061381
chrono_gam,Adiac-20.0,0.9742673693076102,0.9539641943734016
chrono_gam,Adiac-21.0,0.9838957181750682,0.969309462915601
chrono_gam,Adiac-22.0,0.9562450273914276,0.9335038363171356
chrono_gam,Adiac-23.0,0.9853917443555265,0.9718670076726342
chrono_gam,Adiac-24.0,0.9893518136567392,0.979539641943734
chrono_gam,Adiac-25.0,0.9380224857231706,0.9002557544757033
chrono_gam,Adiac-26.0,0.9853037428154994,0.9718670076726342
chrono_gam,Adiac-27.0,0.9906718367571434,0.9820971867007672
chrono_gam,Adiac-28.0,0.9907598382971704,0.9820971867007672
chrono_gam,Adiac-29.0,0.9853037428154994,0.9718670076726342
chrono_gam,Adiac-30.0,0.9865266607682878,0.9744245524296676
chrono_gam,Adiac-31.0,0.9853037428154994,0.9718670076726342
chrono_gam,Adiac-32.0,0.9890787054290692,0.979539641943734
chrono_gam,Adiac-33.0,0.9831819279059608,0.969309462915601
chrono_gam,Adiac-34.0,0.9854797458955534,0.9718670076726342
chrono_gam,Adiac-35.0,0.8209117518975244,0.7621483375959079
chrono_gam,Adiac-36.0,0.964090449301696,0.9360613810741688
chrono_gam,Adiac-37.0,0.9677662930529858,0.948849104859335
chrono_gam,ArrowHead-0.0,0.4583825219614693,0.4685714285714286
chrono_gam,ArrowHead-1.0,0.7143945578231293,0.6971428571428572
chrono_gam,ArrowHead-2.0,0.1607242659077361,0.3771428571428571
chrono_gam,Beef-1.0,0.5269230769230769,0.4
chrono_gam,Beef-2.0,0.6558704453441296,0.5
chrono_gam,Beef-3.0,0.8389610389610389,0.7333333333333333
chrono_gam,Beef-4.0,0.8727272727272727,0.8
chrono_gam,Beef-5.0,0.7666666666666667,0.7333333333333333
chrono_gam,BeetleFly-1.0,0.2909090909090909,0.45
chrono_gam,BeetleFly-2.0,0.0,0.4
chrono_gam,BirdChicken-1.0,0.4363636363636363,0.3
chrono_gam,BirdChicken-2.0,0.6400000000000001,0.8
chrono_gam,Car-1.0,0.8603831417624522,0.7666666666666667
chrono_gam,Car-2.0,0.6141414141414142,0.4666666666666667
chrono_gam,Car-3.0,0.4361904761904762,0.4
chrono_gam,Car-4.0,0.0,0.2166666666666666
chrono_gam,CBF-1.0,0.3560342443933774,0.3788888888888889
chrono_gam,CBF-2.0,0.2022834577798458,0.2466666666666666
chrono_gam,CBF-3.0,0.5321932103848019,0.4888888888888889
chrono_gam,ChlorineConcentration-1.0,0.0,0.2307291666666666
chrono_gam,ChlorineConcentration-2.0,0.2497991460884485,0.3278645833333333
chrono_gam,ChlorineConcentration-3.0,0.319555170695488,0.53125
chrono_gam,CinCECGTorso-1.0,0.8431664698018752,0.7355072463768116
chrono_gam,CinCECGTorso-2.0,0.3372250093124221,0.2572463768115942
chrono_gam,CinCECGTorso-3.0,0.665622714524293,0.5311594202898551
chrono_gam,CinCECGTorso-4.0,0.4574797901527311,0.3478260869565217
chrono_gam,Coffee-0.0,0.2521008403361344,0.5714285714285714
chrono_gam,Coffee-1.0,0.2285714285714286,0.1428571428571428
chrono_gam,Computers-1.0,0.1280239028944911,0.412
chrono_gam,Computers-2.0,0.0946082854194309,0.512
chrono_gam,CricketX-1.0,0.5496564167272376,0.4153846153846154
chrono_gam,CricketX-2.0,0.6192349033883314,0.5051282051282051
chrono_gam,CricketX-3.0,0.0,0.0794871794871794
chrono_gam,CricketX-4.0,0.0,0.0769230769230769
chrono_gam,CricketX-5.0,0.5958197272927434,0.4923076923076923
chrono_gam,CricketX-6.0,0.3380737414173947,0.2564102564102564
chrono_gam,CricketX-7.0,0.4657402525783196,0.3384615384615385
chrono_gam,CricketX-8.0,0.9231140492567844,0.8666666666666667
chrono_gam,CricketX-9.0,0.361587949947083,0.2512820512820513
chrono_gam,CricketX-10.0,0.7436441345216304,0.6282051282051282
chrono_gam,CricketX-11.0,0.6409882296642837,0.5128205128205128
chrono_gam,CricketX-12.0,0.5341439994642463,0.4358974358974359
chrono_gam,CricketY-1.0,0.6346069069769568,0.5256410256410257
chrono_gam,CricketY-2.0,0.0,0.0794871794871794
chrono_gam,CricketY-3.0,0.6605548063108514,0.5358974358974359
chrono_gam,CricketY-4.0,0.8949421790456562,0.8205128205128205
