classifier_name,dataset_name,f1,accuracy
chrono_gam,Adiac-1.0,0.8636378059692968,0.9820971867007672
chrono_gam,Adiac-2.0,0.7662193571146118,0.9667519181585678
chrono_gam,Adiac-3.0,0.7648113324741803,0.9616368286445012
chrono_gam,Adiac-4.0,0.8732777823611915,0.9846547314578004
chrono_gam,Adiac-5.0,0.7348035513698414,0.959079283887468
chrono_gam,Adiac-6.0,0.8310370431482552,0.979539641943734
chrono_gam,Adiac-7.0,0.8500453757940765,0.9744245524296676
chrono_gam,Adiac-8.0,0.8281724412935848,0.969309462915601
chrono_gam,Adiac-9.0,0.6925948730418573,0.8823529411764706
chrono_gam,Adiac-10.0,0.8622297813288655,0.9769820971867008
chrono_gam,Adiac-11.0,0.8092126612215714,0.9744245524296676
chrono_gam,Adiac-12.0,0.8062995067930929,0.9641943734015346
chrono_gam,Adiac-13.0,0.806348059366901,0.9641943734015346
chrono_gam,Adiac-14.0,0.8384912912446557,0.9462915601023018
chrono_gam,Adiac-15.0,0.8303330308280396,0.9769820971867008
chrono_gam,Adiac-16.0,0.7826760913834077,0.9207161125319692
chrono_gam,Adiac-17.0,0.8303330308280396,0.9769820971867008
chrono_gam,Adiac-18.0,0.7662679096884194,0.9667519181585678
chrono_gam,Adiac-19.0,0.7669719220086354,0.969309462915601
chrono_gam,Adiac-20.0,0.8281724412935846,0.969309462915601
chrono_gam,Adiac-21.0,0.8078046365811402,0.969309462915601
chrono_gam,Adiac-22.0,0.8500453757940765,0.9744245524296676
chrono_gam,Adiac-23.0,0.7880922916151034,0.9718670076726342
chrono_gam,Adiac-24.0,0.8514534004345078,0.979539641943734
chrono_gam,Adiac-25.0,0.7348035513698414,0.959079283887468
chrono_gam,Adiac-26.0,0.8085086489013559,0.9718670076726342
chrono_gam,Adiac-27.0,0.8725737700409759,0.9820971867007672
chrono_gam,Adiac-28.0,0.8521574127547233,0.9820971867007672
chrono_gam,Adiac-29.0,0.8085086489013559,0.9718670076726342
chrono_gam,Adiac-30.0,0.8521574127547233,0.9820971867007672
chrono_gam,Adiac-31.0,0.8085086489013558,0.9718670076726342
chrono_gam,Adiac-32.0,0.8929901273272283,0.9820971867007672
chrono_gam,Adiac-33.0,0.8521574127547233,0.9820971867007672
chrono_gam,Adiac-34.0,0.767675934328851,0.9718670076726342
chrono_gam,Adiac-35.0,0.8411094117223975,0.9744245524296676
chrono_gam,Adiac-36.0,0.7362115760102727,0.9641943734015346
chrono_gam,Adiac-37.0,0.7873882792948876,0.969309462915601
chrono_gam,ArrowHead-0.0,0.5801058201058201,0.6057142857142858
chrono_gam,ArrowHead-1.0,0.6809894867037724,0.6971428571428572
chrono_gam,ArrowHead-2.0,0.6751648351648352,0.6971428571428572
chrono_gam,Beef-1.0,0.6717948717948717,0.8
chrono_gam,Beef-2.0,0.6717948717948717,0.8
chrono_gam,Beef-3.0,0.4439560439560439,0.8
chrono_gam,Beef-4.0,0.703030303030303,0.8
chrono_gam,Beef-5.0,0.703030303030303,0.8
chrono_gam,BeetleFly-1.0,0.4181818181818181,0.5
chrono_gam,BeetleFly-2.0,0.3076923076923077,0.5
chrono_gam,BirdChicken-1.0,0.4181818181818181,0.5
chrono_gam,BirdChicken-2.0,0.3076923076923077,0.5
chrono_gam,Car-1.0,0.4301915708812261,0.7666666666666667
chrono_gam,Car-2.0,0.4313026962302325,0.7666666666666667
chrono_gam,Car-3.0,0.4055623388956722,0.6833333333333333
chrono_gam,Car-4.0,0.1730335940862256,0.2166666666666666
chrono_gam,CBF-1.0,0.3980484264990011,0.6666666666666666
chrono_gam,CBF-2.0,0.3991009114625972,0.6688888888888889
chrono_gam,CBF-3.0,0.3975107781884392,0.6644444444444444
chrono_gam,ChlorineConcentration-1.0,0.2077874818235396,0.2588541666666666
chrono_gam,ChlorineConcentration-2.0,0.3858304062078129,0.409375
chrono_gam,ChlorineConcentration-3.0,0.4387451560236001,0.54375
chrono_gam,CinCECGTorso-1.0,0.3395457625495178,0.3869565217391304
chrono_gam,CinCECGTorso-2.0,0.4288793586847784,0.7521739130434782
chrono_gam,CinCECGTorso-3.0,0.4284609372823134,0.7514492753623189
chrono_gam,CinCECGTorso-4.0,0.4280951718398154,0.7514492753623189
chrono_gam,Coffee-0.0,0.4621848739495798,0.4642857142857143
chrono_gam,Coffee-1.0,0.2764976958525346,0.5357142857142857
chrono_gam,Computers-1.0,0.387805229541119,0.488
chrono_gam,Computers-2.0,0.4479385296891818,0.548
chrono_gam,CricketX-1.0,0.571520112565719,0.9307692307692308
chrono_gam,CricketX-2.0,0.5996310894642375,0.9128205128205128
chrono_gam,CricketX-3.0,0.2150276104074627,0.2256410256410256
chrono_gam,CricketX-4.0,0.3633374241440896,0.4538461538461538
chrono_gam,CricketX-5.0,0.5225701057069245,0.9025641025641026
chrono_gam,CricketX-6.0,0.2218278008700158,0.241025641025641
chrono_gam,CricketX-7.0,0.3090773649710042,0.3794871794871794
chrono_gam,CricketX-8.0,0.5793136291467772,0.9128205128205128
chrono_gam,CricketX-9.0,0.5415785005996353,0.8974358974358975
chrono_gam,CricketX-10.0,0.6047344846751597,0.9051282051282052
chrono_gam,CricketX-11.0,0.6463176126802379,0.9333333333333332
chrono_gam,CricketX-12.0,0.6002882298766616,0.9153846153846154
chrono_gam,CricketY-1.0,0.5562429561539686,0.9051282051282052
chrono_gam,CricketY-2.0,0.6165028924471041,0.9025641025641026
chrono_gam,CricketY-3.0,0.3906290037889016,0.5
chrono_gam,CricketY-4.0,0.5375730436909526,0.9102564102564102
